Country,IP,Port,Latency,Download Speed
US🇺🇸,104.16.166.138,443,5.90 ms,40.35 MB/s
US🇺🇸,172.66.205.100,443,5.86 ms,37.52 MB/s
US🇺🇸,172.66.207.206,443,5.90 ms,35.19 MB/s
US🇺🇸,172.66.133.32,443,5.87 ms,34.83 MB/s
US🇺🇸,104.25.216.227,443,5.91 ms,34.82 MB/s
US🇺🇸,104.25.145.90,443,5.89 ms,33.94 MB/s
US🇺🇸,172.66.197.42,443,5.84 ms,33.53 MB/s
US🇺🇸,104.18.121.234,443,5.88 ms,33.08 MB/s
US🇺🇸,104.18.82.131,443,5.88 ms,33.06 MB/s
US🇺🇸,104.27.84.78,443,5.87 ms,32.63 MB/s
US🇺🇸,104.25.225.252,443,5.86 ms,32.01 MB/s
US🇺🇸,172.66.145.115,443,5.83 ms,31.55 MB/s
US🇺🇸,104.18.124.160,443,5.90 ms,31.45 MB/s
US🇺🇸,104.24.175.113,443,5.88 ms,29.05 MB/s
US🇺🇸,104.27.24.184,443,5.86 ms,28.99 MB/s
SG🇸🇬,104.19.58.18,443,5.99 ms,38.62 MB/s
SG🇸🇬,172.67.238.13,443,5.91 ms,38.28 MB/s
SG🇸🇬,104.19.73.34,443,6.16 ms,37.78 MB/s
SG🇸🇬,104.19.224.204,443,6.01 ms,37.76 MB/s
SG🇸🇬,104.19.26.176,443,5.93 ms,37.65 MB/s
SG🇸🇬,104.19.211.10,443,6.06 ms,37.29 MB/s
SG🇸🇬,172.67.97.123,443,5.92 ms,36.19 MB/s
SG🇸🇬,104.19.69.129,443,6.04 ms,35.99 MB/s
SG🇸🇬,104.18.134.225,443,6.05 ms,35.56 MB/s
SG🇸🇬,172.67.235.184,443,5.98 ms,34.87 MB/s
SG🇸🇬,104.19.212.249,443,5.94 ms,34.84 MB/s
SG🇸🇬,172.67.181.7,443,6.01 ms,34.77 MB/s
SG🇸🇬,172.67.249.13,443,5.90 ms,34.21 MB/s
SG🇸🇬,104.18.230.80,443,5.93 ms,33.92 MB/s
SG🇸🇬,172.67.78.87,443,6.08 ms,33.02 MB/s
JP🇯🇵,104.20.36.220,443,6.84 ms,41.71 MB/s
JP🇯🇵,104.20.57.8,443,7.88 ms,39.08 MB/s
JP🇯🇵,104.20.44.208,443,7.21 ms,38.83 MB/s
JP🇯🇵,172.64.53.139,443,7.14 ms,37.33 MB/s
JP🇯🇵,104.20.3.174,443,8.33 ms,36.56 MB/s
JP🇯🇵,172.64.41.20,443,7.73 ms,35.30 MB/s
JP🇯🇵,104.20.4.12,443,8.17 ms,34.79 MB/s
JP🇯🇵,104.20.42.219,443,7.72 ms,34.42 MB/s
JP🇯🇵,104.20.62.8,443,7.60 ms,34.33 MB/s
JP🇯🇵,104.16.53.5,443,8.32 ms,33.79 MB/s
JP🇯🇵,104.20.52.162,443,8.15 ms,32.12 MB/s
JP🇯🇵,104.20.48.144,443,6.13 ms,31.31 MB/s
JP🇯🇵,172.64.33.120,443,8.16 ms,30.96 MB/s
JP🇯🇵,104.20.9.65,443,8.09 ms,30.27 MB/s
JP🇯🇵,104.20.15.132,443,7.88 ms,30.23 MB/s
KR🇰🇷,104.21.50.86,443,7.29 ms,36.70 MB/s
KR🇰🇷,104.21.104.212,443,6.08 ms,35.55 MB/s
KR🇰🇷,104.21.82.28,443,7.49 ms,34.45 MB/s
KR🇰🇷,104.21.27.61,443,7.18 ms,34.41 MB/s
KR🇰🇷,104.21.92.238,443,7.58 ms,31.74 MB/s
KR🇰🇷,104.21.212.43,443,6.81 ms,31.68 MB/s
KR🇰🇷,104.21.120.9,443,6.88 ms,30.96 MB/s
KR🇰🇷,104.21.49.21,443,7.53 ms,30.87 MB/s
KR🇰🇷,104.21.76.205,443,7.52 ms,29.91 MB/s
KR🇰🇷,104.21.68.229,443,6.03 ms,29.75 MB/s
