IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.3.216,4,4,0.00,2.53,0.00,N/A
104.24.16.153,4,4,0.00,2.54,0.00,N/A
104.24.57.72,4,4,0.00,2.86,0.00,N/A
104.24.11.123,4,4,0.00,3.05,0.00,N/A
104.24.64.215,4,4,0.00,3.16,0.00,N/A
104.24.18.80,4,4,0.00,3.24,0.00,N/A
188.114.99.28,4,4,0.00,3.55,0.00,N/A
104.24.52.97,4,4,0.00,3.72,0.00,N/A
188.114.96.196,4,4,0.00,3.85,0.00,N/A
188.114.97.236,4,4,0.00,3.92,0.00,N/A
104.24.82.160,4,4,0.00,3.93,0.00,N/A
188.114.98.47,4,4,0.00,3.95,0.00,N/A
104.24.65.59,4,4,0.00,3.99,0.00,N/A
104.24.153.207,4,4,0.00,4.02,0.00,N/A
104.24.164.36,4,4,0.00,4.03,0.00,N/A
104.24.128.227,4,4,0.00,4.05,0.00,N/A
104.24.61.26,4,4,0.00,4.09,0.00,N/A
104.24.19.23,4,4,0.00,4.14,0.00,N/A
104.24.26.107,4,4,0.00,4.16,0.00,N/A
173.245.59.87,4,4,0.00,4.17,0.00,N/A
104.24.20.64,4,4,0.00,4.22,0.00,N/A
104.24.156.29,4,4,0.00,4.22,0.00,N/A
104.24.130.155,4,4,0.00,4.26,0.00,N/A
104.24.15.125,4,4,0.00,4.30,0.00,N/A
104.24.9.37,4,4,0.00,4.34,0.00,N/A
104.24.139.235,4,4,0.00,4.34,0.00,N/A
104.24.10.80,4,4,0.00,4.39,0.00,N/A
104.24.95.32,4,4,0.00,4.43,0.00,N/A
104.24.148.175,4,4,0.00,4.51,0.00,N/A
104.24.60.101,4,4,0.00,4.63,0.00,N/A
104.24.51.234,4,4,0.00,4.65,0.00,N/A
104.24.136.101,4,4,0.00,4.71,0.00,N/A
104.24.88.175,4,4,0.00,4.71,0.00,N/A
104.24.43.65,4,4,0.00,4.72,0.00,N/A
104.24.145.42,4,4,0.00,4.74,0.00,N/A
104.24.138.245,4,4,0.00,4.74,0.00,N/A
104.24.143.75,4,4,0.00,4.81,0.00,N/A
104.24.23.98,4,4,0.00,4.86,0.00,N/A
104.24.131.149,4,4,0.00,4.91,0.00,N/A
104.24.149.11,4,4,0.00,4.94,0.00,N/A
104.24.175.218,4,4,0.00,4.96,0.00,N/A
104.24.25.100,4,4,0.00,4.99,0.00,N/A
104.24.89.14,4,4,0.00,5.01,0.00,N/A
104.24.44.17,4,4,0.00,5.03,0.00,N/A
104.24.146.131,4,4,0.00,5.09,0.00,N/A
104.24.154.68,4,4,0.00,5.14,0.00,N/A
104.24.94.18,4,4,0.00,5.14,0.00,N/A
104.24.150.144,4,4,0.00,5.27,0.00,N/A
104.24.141.98,4,4,0.00,5.36,0.00,N/A
104.24.39.87,4,4,0.00,5.36,0.00,N/A
173.245.58.210,4,4,0.00,5.42,0.00,N/A
104.24.135.203,4,4,0.00,5.57,0.00,N/A
104.24.5.152,4,4,0.00,5.78,0.00,N/A
104.24.21.72,4,4,0.00,5.79,0.00,N/A
104.24.91.165,4,4,0.00,5.85,0.00,N/A
104.24.67.179,4,4,0.00,5.86,0.00,N/A
104.24.2.133,4,4,0.00,6.00,0.00,N/A
173.245.49.44,4,4,0.00,6.26,0.00,N/A
104.24.179.174,4,4,0.00,6.53,0.00,N/A
104.24.33.206,4,4,0.00,6.63,0.00,N/A
104.24.170.155,4,4,0.00,6.71,0.00,N/A
104.24.41.239,4,4,0.00,7.00,0.00,N/A
104.24.71.87,4,4,0.00,7.05,0.00,N/A
104.24.17.77,4,4,0.00,7.05,0.00,N/A
104.24.78.160,4,4,0.00,7.33,0.00,N/A
104.24.80.46,4,4,0.00,7.33,0.00,N/A
104.24.70.130,4,4,0.00,7.35,0.00,N/A
104.24.90.65,4,4,0.00,7.35,0.00,N/A
104.24.144.79,4,4,0.00,7.37,0.00,N/A
104.24.14.127,4,4,0.00,7.55,0.00,N/A
104.24.77.223,4,4,0.00,7.59,0.00,N/A
