IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.14.141,4,4,0.00,2.10,451.20,ORD
162.159.253.69,4,4,0.00,2.53,427.28,ORD
198.41.204.63,4,4,0.00,1.81,401.82,ORD
198.41.205.149,4,4,0.00,1.89,393.98,ORD
198.41.201.14,4,4,0.00,2.01,385.93,ORD
198.41.217.242,4,4,0.00,1.78,369.13,ORD
172.64.68.50,4,4,0.00,2.01,354.85,ORD
162.159.252.213,4,4,0.00,2.20,328.71,ORD
198.41.222.176,4,4,0.00,2.10,327.21,ORD
198.41.207.215,4,4,0.00,1.92,316.04,ORD
162.159.19.50,4,4,0.00,2.22,304.46,ORD
198.41.202.244,4,4,0.00,1.70,292.86,ORD
198.41.206.142,4,4,0.00,1.93,281.65,ORD
172.64.69.103,4,4,0.00,2.29,242.29,ORD
172.64.92.95,4,4,0.00,2.25,232.53,ORD
172.64.83.202,4,4,0.00,2.09,208.34,ORD
162.159.245.189,4,4,0.00,2.17,208.20,ORD
104.24.6.179,4,4,0.00,2.75,204.73,ORD
198.41.200.141,4,4,0.00,1.85,158.94,ORD
162.159.9.232,4,4,0.00,2.15,147.47,ORD
172.64.84.96,4,4,0.00,2.16,143.44,ORD
172.64.91.61,4,4,0.00,2.11,127.39,ORD
172.64.86.27,4,4,0.00,2.17,115.77,ORD
198.41.203.22,4,4,0.00,1.93,106.71,ORD
172.67.207.135,4,4,0.00,10.17,0.00,N/A
104.19.248.217,4,4,0.00,16.42,0.00,N/A
172.65.59.104,4,4,0.00,2.14,0.00,N/A
172.65.49.16,4,4,0.00,2.14,0.00,N/A
172.65.117.167,4,4,0.00,2.13,0.00,N/A
172.65.51.153,4,4,0.00,2.10,0.00,N/A
172.65.48.84,4,4,0.00,2.16,0.00,N/A
172.65.161.200,4,4,0.00,2.10,0.00,N/A
172.64.100.207,4,4,0.00,2.09,0.00,N/A
172.65.230.65,4,4,0.00,2.17,0.00,N/A
172.65.204.164,4,4,0.00,2.17,0.00,N/A
172.65.214.187,4,4,0.00,2.18,0.00,N/A
172.65.53.241,4,4,0.00,2.19,0.00,N/A
172.65.52.33,4,4,0.00,2.20,0.00,N/A
172.65.67.158,4,4,0.00,2.06,0.00,N/A
172.65.62.65,4,4,0.00,2.20,0.00,N/A
172.65.16.70,4,4,0.00,2.04,0.00,N/A
172.65.56.235,4,4,0.00,2.22,0.00,N/A
172.65.24.234,4,4,0.00,2.22,0.00,N/A
172.65.173.68,4,4,0.00,2.23,0.00,N/A
172.64.101.221,4,4,0.00,2.03,0.00,N/A
172.65.197.26,4,4,0.00,2.26,0.00,N/A
172.65.46.15,4,4,0.00,2.26,0.00,N/A
172.65.70.230,4,4,0.00,2.26,0.00,N/A
172.65.206.42,4,4,0.00,2.26,0.00,N/A
172.65.172.63,4,4,0.00,2.26,0.00,N/A
172.65.139.61,4,4,0.00,2.28,0.00,N/A
172.65.112.82,4,4,0.00,2.28,0.00,N/A
172.64.97.162,4,4,0.00,2.29,0.00,N/A
172.65.169.84,4,4,0.00,2.02,0.00,N/A
172.65.219.209,4,4,0.00,2.29,0.00,N/A
172.65.103.64,4,4,0.00,2.30,0.00,N/A
162.159.229.164,4,4,0.00,2.31,0.00,N/A
172.64.81.138,4,4,0.00,2.31,0.00,N/A
172.65.58.7,4,4,0.00,2.31,0.00,N/A
172.65.63.51,4,4,0.00,2.32,0.00,N/A
172.65.236.194,4,4,0.00,2.32,0.00,N/A
172.65.171.7,4,4,0.00,2.33,0.00,N/A
172.65.190.78,4,4,0.00,2.33,0.00,N/A
172.65.25.16,4,4,0.00,2.33,0.00,N/A
172.65.88.172,4,4,0.00,2.33,0.00,N/A
172.65.31.17,4,4,0.00,2.34,0.00,N/A
172.64.75.39,4,4,0.00,2.34,0.00,N/A
172.65.216.244,4,4,0.00,2.34,0.00,N/A
172.65.207.164,4,4,0.00,2.35,0.00,N/A
172.65.185.207,4,4,0.00,2.35,0.00,N/A
172.65.43.19,4,4,0.00,2.35,0.00,N/A
172.65.123.234,4,4,0.00,2.35,0.00,N/A
172.65.194.216,4,4,0.00,2.35,0.00,N/A
162.159.212.23,4,4,0.00,2.35,0.00,N/A
198.41.218.182,4,4,0.00,2.35,0.00,N/A
172.65.200.92,4,4,0.00,2.36,0.00,N/A
172.65.106.148,4,4,0.00,2.36,0.00,N/A
172.64.85.205,4,4,0.00,2.36,0.00,N/A
172.65.27.37,4,4,0.00,2.36,0.00,N/A
162.159.62.36,4,4,0.00,2.37,0.00,N/A
172.65.39.171,4,4,0.00,2.37,0.00,N/A
172.65.195.201,4,4,0.00,2.37,0.00,N/A
172.65.217.15,4,4,0.00,2.38,0.00,N/A
172.65.143.181,4,4,0.00,2.38,0.00,N/A
172.65.167.15,4,4,0.00,2.38,0.00,N/A
172.65.91.34,4,4,0.00,2.39,0.00,N/A
172.65.131.252,4,4,0.00,2.39,0.00,N/A
198.41.194.219,4,4,0.00,2.39,0.00,N/A
172.65.138.121,4,4,0.00,2.40,0.00,N/A
172.65.213.232,4,4,0.00,2.40,0.00,N/A
172.64.72.238,4,4,0.00,2.40,0.00,N/A
172.65.192.211,4,4,0.00,2.40,0.00,N/A
172.65.118.146,4,4,0.00,2.41,0.00,N/A
172.64.96.22,4,4,0.00,2.41,0.00,N/A
162.159.249.205,4,4,0.00,2.41,0.00,N/A
104.24.35.173,4,4,0.00,2.42,0.00,N/A
162.159.12.14,4,4,0.00,2.42,0.00,N/A
104.24.28.28,4,4,0.00,2.42,0.00,N/A
172.65.137.9,4,4,0.00,2.43,0.00,N/A
172.65.170.20,4,4,0.00,2.43,0.00,N/A
172.65.45.31,4,4,0.00,2.43,0.00,N/A
